Name	Series	Description	Ingredients	Instructions	Time	Level
Lemon Blueberry Lunch Box Tarts	Disney: Toy Story	A sweet Lemon Blueberry Tart	"1*17.3ounce*Box Frozen Puff Pastry Sheets,0.75*cup*Canned Lemon Pie Filling,1*large*Egg,1*tablespoon*Room Temperature Water,1*cup*Confectioners Sugar,1*tablespoons*Heavy Cream,1*cup*Fresh Blueberries,1*tablespoon*Lemon Juice"	"1. Allow pastry to thaw at room temperature for 40 minutes. Preheat oven to 400 degrees Fahrenheit. Line an ungreased baking sheet with parchment paper and set aside.||2. Cut 1 sheet the puff pastry into six rectangular pieces. Place 2 tablespoons pie filling on the middle of each piece, keeping the edges clean. Place 6 fresh blueberries into the lemon cream on each pastry piece.||3. In a small bowl, beat egg and water together with a fork. Brush along the clean edges of the pastry pieces. Reserve remaining egg wash.||4. Cut the second puff pastry sheet into six rectangular pieces. Use your fingers to gently push the middle of the pastry up slightly to accommodate the lemon and blueberries. Place one plain pastry piece on top of each lemon and blueberry pastry and gently press the edges of each tart together with your fingers. Finish by crimping the edges with a fork.||5. Brush the remaining egg wash over each tart. Lay tarts on the prepared baking sheet. Bake until golden brown, about 18 minutes. Allow tarts to completely cool after baking, about 1 hour.||6. In a small bowl, whisk together the confectioners' sugar, cream, and lemon juice. Spread 1 tablespoon onto each tart. Eat immediately."	130	Medium
Green Milk	Disney: Star Wars 	A flavourful fruity milk drink 	"1*cup*Pulp Free Orange Juice,1*cup*Passion Fruit Juice,0.5*cup*Canned Coconut Milk,0.5*cup*Rice Milk,0.25*cup*Light Corn Syrup,3*drops*Lime Green Gel Food Coloring"	"In a blender, add all ingredients and blend until well combined. Pour into an ice cream machine. Follow the manufacturer's instructions and run for about 8 minutes or until slushy."	10	Easy
Blue Milk	Disney: Star Wars 	A flavourful fruity milk drink 	"1*cup*Pineapple Juice,0.5*cup*Passion Fruit Juice,0.5*cup*Canned Coconut Milk,0.5*cup*Rice Milk,1*tablespoon*Lime Juice,1*tablespoon*Watermelon Syrup,2*drops*Blue Gel Food Coloring"	"In a blender, add all ingredients and blend until well combined. Pour into an ice cream machine. Follow the manufacturer's instructions and run for about 8 minutes or until slushy. Enjoy immediately."	10	Easy
Cheeseburger Steamed Pods	Disney: Avatar	Otherworldly Cheeseburger	"1*tablespoon*Vegetable Oil*0.5*medium*Yellow Onion (Peeled and Diced),1*teaspoon*Minced Garlic,1*pound*Ground Beef,1*teaspoon*Salt,1*teaspoon*Ground Black Pepper,1*tablespoon*Yellow Mustard,1*tablespoon*Ketchup,2*cups*Cheddar Cheese (shredded),2*cups*Flour,0.5*teaspoon*Active Dry Yeast,1*cup*Warm Water( 110 degrees Fahrenheit)"	"1. In the bowl of a stand mixer, add flour and yeast. Using the dough hook attachment, beat on medium to mix. Slowly pour in warm water while mixing. Knead dough the 5 minutes.||2. Grease a large bowl with nonstick cooking spray. Transfer the dough to a greased bowl. Cover with plastic wrap and let rise in a warm place until doubled in size, about 1 hour.||3. In a large skillet over medium heat, heat oil for 30 seconds, then add onion and garlic. Cook for 2 minutes. Add ground beef, salt, and pepper. Cook until beef is no longer pink, about 6 minutes. Remove from heat and drain.||4. Stir mustard and ketchup into beef and set aside.||5. Line a steamer basket with a circle of parchment paper. Fill a large pot with 2 inches of water and place the prepared steamer basket on top. Over high heat, bring water to a boil.||6. Turn the risen dough out onto a floured surface. Gently roll into a log about 12 inches long. Cut off a golf ball-sized piece of dough and flatten it with a rolling pin. Hold the dough in your palm and scoop in 2 tablespoons of meat filling into the centre. Sprinkle 1 tablespoon cheese on top of the meat. Use your opposite hand to carefully fold and crimp the top of the bun shut. Place in steamer basket. Repeat with remaining dough and fillings until the basket is full, then place a lid on top and steam for 15 minutes. Turn the heat off and let rest in the covered steamer for 5 minutes more.||7. Remove pods to a serving tray and place in oven to maintain warmth. Repeat cooking with any remaining dough and fillings."	100	Hard
Pongu Lumpia	Disney: Avatar	Pineapple Cream Cheese Spring Roll	"3*cups*Vegetable Oil,1*large*Egg,1*teaspoon*Room Temperature Water,10*null*Egg Roll Wrappers,8*ounces*Cream Cheese (softened),1*20ounce*Canned Pineapple Chunks Packed in Juice (drained),0.5*cup*Granulated Sugar"	"1. In a medium, heavy-bottomed pot over medium-high heat, add vegetable oil. It should measure to a depth of about 2 inches. Heat until the oil reaches 350 degrees Fahrenheit. Line a large plate with paper towels and set aside.||2. In a small bowl, beat egg and water together with a fork. Lay 1 egg roll wrapper in front of you. Brush egg wash onto two adjacent sides of the egg roll wrapper. Spread a thin layer of cream cheese across the non-egg-washed surface of the wrapper. Place 4 chunks of pineapple in a line in the centre of the wrapper. Sprinkle 1 teaspoon sugar onto the pineapple. Roll up like a burrito, making sure the egg-washed edges are the last thing to roll up. Repeat with the remaining wrappers to make ten rolls.||3. Carefully slide three rolls into the hot oil. Fry until golden brown, about 4 minutes, turning frequently. Remove to the lined plate. Repeat with the remaining rolls.||4. Sprinkle the remaining sugar over the outside of the hot rolls."	70	Medium
Baked Lobster Macaroni and Cheese	Disney	Lobster Mac and Cheese	"3*tablespoons*Cold Salted Butter,0.25*cups*Flour,2*cups*Whole Milk,4*cups*Sharp White Cheddar Cheese (shredded),1*teaspoon*Salt,1*teaspoon*Garlic Powder,1*teaspoon*Ground Black Pepper,1*teaspoons*Onion Powder,8*ounces*Dry Elbow Macaroni (cooked),0.5*cups*Precooked Lobster Meat (shredded)"	"1. Preheat oven to broil on high. Grease the bottom and sides of a 9 inch x 13 inch baking pan or six individual oven-safe ramekins with nonstick cooking spray.||2. In a large saucepan over medium heat, add butter and flour. Cook, whisking together, 2 minutes.||3. In a small microwave-safe bowl, microwave milk on high for 2 minutes. Whisk milk into the flour mixture, still over medium heat. Cook, stirring, 2 minutes more. Remove from heat.||4. Add 3 cups cheese, salt, garlic powder, pepper, and onion powder to the milk mixture. Add cooked macaroni and stir until well combined. Stir in lobster meat.||5. Spoon macaroni & cheese into the dish(es) and sprinkle with remaining 1 cup cheese.||6. Broil until cheese on top is brown and bubbling, about 8 minutes."	40	Easy
Chicken Drumsticks 	Disney: Onward	Crispy Seasoned Chicken Drumsticks	"0.5*cup*Cold Salted Butter,0.25*cup*Flour,0.5*cup*Yellow Cornmeal,2*teaspoons*Salt,2*teaspoons*Paprika,1*teaspoon*Ground dried Sage,0.5*teaspoon*Ground Black Pepper,6*4ounce*Chicken Drumsticks"	"1. Place butter in a 9inchx 13inch baking pan and put the pan into the oven. Preheat oven to 450 degrees Fahrenheit.||2. In a large resealable plastic bag, add flour, cornmeal, salt, paprika, sage, and pepper. Close the bag and shake to combine.||3. Once the oven is heated, carefully remove the pan.||4. Place one drumstick into the seasoning bag and shake to coat. Then place drumstick into buttered pan. Repeat with the remaining drumsticks. Carefully pat leftover seasoning from the bag onto drumsticks.||5. Bake for 20 minutes. Flip drumsticks and bake 20 minutes more, or until the thermometer inserted in centre reaches 165 degrees Fahrenheit. Serve immediately."	60	Easy
Jack Jacks Num Num Cookies	Disney: Incredibles	Chocolate Chip Cookies	"3*tablespoons*Unsalted Butter (softened),3*tablespoons*Vegetable Shortening,0.25*cup*Light Brown Sugar,0.25*cup*Granulated Sugar,0.5*teaspoon*Vanilla Extract,1*large*Egg,0.75*cup*Flour,0.5*teaspoon*Baking Soda,0.5*teaspoon*Salt,1*cup*Milk Chocolate Chunks"	"1. Preheat oven to 375 degrees Fahrenheit. Line three (4inch) ramekins with parchment paper and set aside.||2. In the bowl of a stand mixer, add butter and shortening. Using the flat beater attachment, cream together well. Add brown sugar and granulated sugar, and beat for 2 minutes. Mix in vanilla and egg, then mix in flour, baking soda, and salt. Stir in 3 quarters of the chocolate chunks.||3. Pack each ramekin with about half an inch of cookie dough, top the dough with the remaining quarter cup chocolate chunks, and bake for 15 minutes.||4. Allow to cool completely, about 15 minutes, before removing from ramekins."	45	Easy
Pixar Pier Frosty Parfaits	Disney: Monsters Inc	Fruity Parfait 	"4*cups*Lemon Sorbet,2*cups*Blue Raspberry Ice Treats (mashed),4*maraschino*Cherries"	"In a parfait glass, layer half cup scoop of lemon sorbet, half cup of blue raspberry slush, and another  half cup scoop of lemon sorbet. Add a cherry on top. Repeat with remaining ingredients."	10	Easy
Apple and Cherry Griddle Cakes	The Hobbit 	Apple and Cherry Pancakes	"1*large*Tart Apple (peeled and shredded),60*grams*Butter (melting),2*null*Eggs,1*cup*Whole Milk,1.5*cups*Flour,1.25*teaspoons*Baking Powder,0.25*teaspoon*Ground Cinnamon,2*tablespoons*White Sugar,0.5*teaspoon*Salt,50*grams*Dried Cherries"	"1.   Start by peeling and shredding your apple until it could be mistaken for raw hash browns. Mix the shredded apple with the butter, eggs, and milk.||2.   In another bowl, whisk together your flour, baking powder, cinnamon, sugar, and salt.||3.   Once your dry goods are blended, add them to the apple mix. Throw in the cherries while you're at it. Mix everything together until it just combines into a batter. No need to over mix it.||4. Lower heat and longer cooking times are the keys to making lovely golden brown griddle cakes that flip easily with no mess. The faster and hotter you cook them, the more likely they are to wind up burned at the edges and raw in the middle. Cook these over medium heat - no hotter.||6.   Pour a single large cake into the middle of the skillet using half a cup of batter.||7.   Generously smear the skillet with butter before adding the batter. Instead of watching the time, watch the griddle cakes. When the edges start to lift up from the pan and bubbles rise to the surface of the middle, they're ready to flip. Any sooner than that and you'll wind up with a wet, sloppy mess stretched across your pan.||8.  After flipping, brown your cakes for another 3-4 minutes to finish them.||9.  Sprinkle the hot cakes with extra sugar and cinnamon or spread them with fresh raspberry jam. If you have extras, store them in the fridge overnight then reheat in a 350F / 180C oven for 5-6 minutes."	40	Easy
Porter Cake	The Hobbit 	Hobbit version of a fruitcake	"85*grams*Room Temperature Butter,1*cup*Sugar,3*null*Eggs,1*null*Orange (juice and zest),1*teaspoon*Baking Powder,2.5*cups*Flour,1*teaspoon*Cinnamon,0.5*teaspoon*Allspice,0.5*teaspoon*Nutmeg,1*pinch*Cloves,50*grams*Candied Citrus Peel (orange, lemon or mix),85*grams*Cherries,85*grams*Currants,85*grams*Sultanas,85*grams*Raisins,1.25*cups*Guinness,50*grams*Flaked Almonds,0.5*cup*Packed Brown Sugar"	"1. Soak your assorted dried fruits in half a cup of Guinness overnight to help plump them back up. ||2. Start by creaming together your room temperature butter, sugar, and eggs. Add the juice and zest of one orange.||3.   In another bowl, mix your flour, baking powder, and all the spices.||4.   Roll your moist fruit in the flour mix. If you can get a nice coating of flour on it, that will help keep the fruit from sinking to the bottom of the cake while it bakes.||5.Once your fruit is all floured up, introduce the flour mix to the butter mix. Take them on a nice little dance around your bowl until they're all mixed up. Once they're happily confused, pour in all the beer. Keep mixing until the foam dies down.||6. Generously grease a couple of 22 cm cake pans. Square pans make for easy cutting and dense packing, but you're just as welcome to use round pans.||7.  Pour your batter into the buttery pans and give them a nice shake to help smooth out the crust.||8.   Sprinkle the brown sugar evenly over your cakes. Top that with an even sprinkling of thin flaked almond slices. Use your fingers to gently press the almonds into the batter. This will help prevent them from escaping when you slice the cake.||9.   Bake at 325F / 160C for 45-50 minutes, or until the crust is a dark, crunchy brown and a toothpick inserted in the middle comes out clean.||10. You'll end up with an incredibly moist, dense cake."	70	Easy
"Braided Bread Stuffed with Mushrooms, Onions, and Cheese"	The Hobbit 	Hobbit stuffed bread	"1.5*cups*Water,1*tablespoon*Active Dry Yeast,4*tablespoons*Honey,4*null*Eggs,0.5*cup*Oil,7*cups*Bread Flour,1*tablespoon*Coarse Salt,8*cloves*Minced Garlic,1*tablespoon*Fresh Rosemary Leaves,1*teaspoon*Fresh Basil Leaves (minced),2*tablespoons*Butter,2*cups*Slice Mushrooms,2*null*Onions (diced),2*cups*Shredded Mozzarella,2*cloves*Garlic (filling),1*tablespoon*Rosemary (filling),1*teaspoon*Basil (filling),1*tablespoon*Coarse Salt (filling)"	"1. To make a loaf, start by dissolving your yeast in the warm water. Feel free to add an extra tsp of honey at this stage to help kick start your yeast.||2. Walk away for ten minutes. When you come back, the yeast should have bloomed so it looks like a mushroom cap rising up out of your bowl.||3.  Mix in the eggs, oil, salt, and the rest of the honey. When you achieve a soupy mass, add the minced garlic, fresh rosemary leaves, and fresh basil. ||4.   Now mix in the bread flour. Modern cooks with a stand mixer can attach the dough hook and let it knead away for 6-8 minutes. If you want to get a real feel for the period, knead it by hand for 8-10 minutes. The dough should be soft, pliant, and not too tacky.||5.  Form it into a ball, cover it with a clean dishtowel, and let it rise for an hour, or until doubles in size.||6. Meanwhile, make your filling. Melt your butter in a large skillet over medium-high heat. Add your onions and cook until they start to brown. You want them to lose a lot of moisture while gaining some flavour. Once the onions start to brown, add your garlic, rosemary, and basil. Keep cooking for another 3-4 minutes, or until the garlic barely starts to brown. Finally, add the mushrooms. You don't want to overcook them. Mix them in and cook for another 4-5 minutes, stirring frequently. Take the pan off the heat and finish it with the coarse salt. Set it aside to cool while the dough continues rising.||7. Once the dough has doubled in size, punch it down. Flour a clean surface and roll the dough into a rectangle. Put that rectangle on a sheet of parchment paper so you can easily move the finished loaf to a pan. Trim away any rough edges.||8.  Now that you have a trimmed rectangle of dough, mentally divide the rectangle into thirds. The centre third is where you place your filling. The outer two thirds will be cut into braid strips. To give it an attractive, braided top, make neat, even, 1 inch wide cuts along each side.||9.  Make a bed of cheese in the middle of a third of your bread. Pile the mushroom filling on top of that. Cover the filling with any remaining cheese.||10. Fold both end pieces inwards so they cover some of the filling. To create the braided top, pull the cut edges of the dough over the centre, alternating sides and tugging tight, so the dough completely covers the filling.||11. This makes a single, massive rectangular loaf. Slide it onto your largest cooking pan. If you don't have any oversized baking sheets, just slide it into a heavily buttered 9x13 glass baking pan. Either way, let it rise for another hour.||12.  You put this much work into it, so you might as well make the bread pretty. Whisk together an egg and 1 tbsp of water to make an egg wash. Use a pastry brush to paint the surface of the bread. If you'd like, sprinkle another 1 tsp of coarse salt on top.||13. Bake the bread at 350F / 180C for 35-40 minutes. If the top starts to get too brown, cover it with foil.||14. Due to the moist interior, the bottom of this bread tends to get soggy if you leave it out overnight. That means it's your duty to consume the entire loaf before bedtime. If you don't have a party of dwarves or a couple of teenagers on hand to help you finish it, you can always use the leftovers to make savoury mushroom bread pudding for tomorrow's dinner."	180	Hard
Pan Fried Tater Cakes with 	The Hobbit 	Crispy Potato Cakes	"1*cup*Potatoes (shredded),2*cups*Potatoes (Mashed),1*cup*Flour,1*large*Onion (minced),0.5*cup*Cheddar (shredded),0.25*cup*Whole Milk,2*cloves*Garlic (minced),1*tablespoon*Coarse Salt,1*teaspoon*Fresh Ground Black Pepper,10*tablespoon*Butter (softened)"	"1.  Peel and grate your raw potatoes. To reduce the starch, soak them in cold water for five minutes. Don't skip this step. It makes a big difference. While the raw potatoes are soaking, mix your leftover mashed potatoes, flour, minced onion, minced garlic, salt, pepper, milk, shredded cheese and softened butter. You should end up with something a little thicker than lumpy pancake batter. Drain your raw potato shreds, give them one last rinse, and mix them into the batter.||2. Melt a tbsp of butter in a large skillet over medium heat - no hotter! Drop in a heaping tbsp full of batter and use the back of a spoon to flatten it slightly. You should be able to fry 3 potato cakes in a round pan or four in a square one.||3.   Here's the hard part. Once your potato cakes are nice and round, leave them alone. Let them sizzle away over a medium heat for about ten minutes. If your first batch starts to burn before 10 minutes are up, turn down the heat.||4.  When you flip the tater cakes, the bottom side should be a lovely dark golden brown. Let them crisp up for another 6-8 minutes on the second side.||5.   Since they are a bit time consuming, don't be afraid of making two pans at once. Just stagger the flipping. Put down three potato cakes in the first pan. Wait five minutes, put three in a second pan, and wait five more five minutes. You can get into a good rhythm of flipping one skillet and adding new batter to the other.||6.  In addition to making great gravy sops, these small, round potato cakes also taste surprisingly good with a sprinkle of coarse salt and a dollop of fresh applesauce."	35	Medium
Bannocks 	The Hobbit 	Hobbit Flat Bread	"1*cup*Whole Wheat Flour,3*tablespoon*Baking Powder,1*tablespoon*Salt,0.5*cup*Sugar,2*tablespoons*Cinnamon,1*tablespoon*Allspice,0.5*tablespoon*Nutmeg,0.5*tablespoon*Cloves,1*cup*Rolled Oats,1*cup*Whole Fat Milk*6*tablespoons*Butter"	"1.  Mix the flour, baking powder, and salt in a large bowl. Make sure the baking powder is evenly distributed in the salt or else you'll end up with unevenly cooked bannocks.||2.   Now add the sugar, cinnamon, allspice, nutmeg, and cloves. Mix in the sugar and spices until everything is well blended. Next, add in the oats and give them a good mix.||3. Get it all wet by adding the milk. Stir it just enough to make the lumps disappear. You don't need to overwork this batter.||4.  Heat a large cast iron skillet or griddle to medium heat. You want to cook these low and slow to avoid burning. Smear the bottom with a generous coat of butter. Honestly, the easiest method is to just rub the stick across the surface of your hot pan.||5.  Ladle in a third cup of batter. You should be able to comfortably fit three at a time into a round skillet or four onto a square griddle.||6.  Fry for 3-5 minutes per side, or until they're a dark golden brown.||7. These are best served warm with a nice cup of milky tea. If you want to make them up in advance, you can reheat them without burning the surface by arranging a single layer on a lined baking sheet and popping them in a 400F / 205C oven for 5-6 minutes, or until warmed through but not yet overly crispy on the outside."	40	Medium
Venison Cobbler 	The Hobbit 	Cobbler made of Venison	"2*tablespoons*Butter,2*large*Onions (Peeled and sliced),2*null*Celery Sticks (chopped),4*null*Carrots (peeled and chopped),1.3*kilograms*Venison (cut into 1 inch cube, shoulder trimmed of fat),2.25*cups*Dark Ale,1*cup*Beef Broth,2*tablespoons*Flour,0.5*teaspoon*Worcestershire Sauce,1*teaspoon*Mustard Powder,1*tablespoon*Thyme,2*teaspoon*Coarse Salt,0.5*teaspoon*Fresh Ground Black Pepper,3*tablespoons*Cherry Jelly,2*null*Bay Leaves,3.75*cups*Flour (topping),1.5*tablespoon*Baking Powder (topping),1.5*teaspoon*Salt (topping),1*teaspoon*Thyme (topping),115*grams*Butter (topping),320*milliliters*Whole Milk,1*null*Egg"	"1.  Start by making the cobbler topping. Instead of a full pastry crust, you're essentially making savoury biscuits which will be a crunchy golden brown on top and full of brothy flavour on the bottom.||2.  Mix the flour, baking powder, salt, and thyme in a large bowl. Cut your butter into cubes and work it into the flour until it achieves the texture of gravel. Now moisten that gravel into a dough by adding the milk, a little at a time, until you end up with a dough similar to American biscuits.||3. Knead the dough a couple of times for good measure, then cover it with a towel and set it in the fridge while you make the cobbler filling.||4.  Preheat your oven to 400F / 205C. While the oven heats up, melt the butter in a large skillet over medium-high heat. Gently fry the onions and celery for 4-5 minutes, or until the onion barely starts to brown.||5.  Add the browned onions and celery to a rectangular baking pan. Now add the cubed venison to the skillet and brown it in batches. Don't overcrowd the pan.||6.   When the venison is browned, send it to join the onions in your baking pan. Add the cubed carrots to keep it company.||7. Whisk the flour into the beef broth until it's completely dissolved and free of lumps. Now mix in the Worcestershire, mustard powder, thyme, salt, and pepper. Once those are well blended, add the red currant or cherry jelly and keep whisking until you achieve a thick, sweet broth.||8. Once your jelly is mixed into the broth, pour in the ale and give it all a casual stir. Drop in the bay leaves.||9. Go back to your pan of meat and veggies. Give them all one more good stir before gently pouring the liquids over the solids. Shake the pan a couple of times to settle everything.||10.  It's now time to top it with the 'cobblers.' Fetch your dough from the fridge and use your hands to press it down until it's about 1 inch / 2.5 cm thick. The cobbles will inflate in the oven, so you don't want them to be too thick.||11. Use a 3 inch / 7.5 cm round cookie cutter to cut out your cobbles. Welcome to use any fancy shaped cookie cutter you'd like. The point is to cover the entire surface in evenly sized increments to make a nice presentation. The easiest way to do this is to slightly overlap each cobble so it looks more like roofing shingles than street paving stones.||12. Whisk your egg and remaining 1 tbsp of milk together until smooth. Very carefully paint the glaze over the topping.||13.   Carefully place your dish in the oven. (Try not to slosh too much broth over the top of the cobbles.) Bake for 30 minutes, or until the topping is golden brown and the interior is bubbly.||14.   Take it out of the oven and let the cobbler sit for at least 10 minutes to cool and settle before serving."	100	Hard
Pork Hand Pie	The Hobbit 	Hobbit Traditional Pork pie	"450*grams*Pork Sausage (Mushed into Crumbles),1*null*Onion (diced),2*tablespoons*Flour,0.5*tablespoon*Thyme,0.5*teaspoon*Allspice,0.25*teaspoon*Fresh Ground Black Pepper,1*pinch*Freshly Ground Nutmeg,1*pinch*Coarse Salt,1*batch*Short Crust Pastry"	"1.  You don't want hearty sausage links here. Get loose, ground country sausage (you can find it in the butcher section of larger groceries) . You want a loose grind full of delicious fat to bind the filling together.||2. Brown the sausage and remove it from the skillet. Add the onion to all that tasty grease. Cook it until the onion has sweated out most of its moisture (this helps the pies keep from getting too mushy) and start to turn a nice brown at the edges.||3. Once your onions are browned, turn the heat down to medium. Return the sausage to the pan and add in the thyme, allspice, nutmeg, salt and pepper. Mix well, so everything is coated, and keep cooking for another 1-2 minutes. Now sprinkle the flour over the top of the mixture. Patiently let it soak in for about a minute before you start stirring. This should thicken up the filling and help bind it together. Take the filling off the heat and let it cool to room temperature before stuffing your pies.||4. You want to roll your short crust pastry dough out until it's no less than a quarter to eighth inch / 3-6 mm thick. Use a 4 inch / 10 cm wide cookie cutter to cut it into large rounds. If you're making a big batch of different pies and don't want the first bite of everyone to be a surprise, have fun using different shaped cookie cutters for each filling.||5.  Whatever shape you use, tightly pack 2 tbsp of filling into the middle of your crust. Fold the crust over, pinch it tight, and crimp the edges tightly closed. Once the edges are crimped, punch a couple of holes in the top for steam to escape. Arrange your hand pies 1-2 inches / 2.5-5 cm apart on a well greased cookie sheet.||6. Whisk 1 egg plus 1 tbsp of water together. Use a pastry brush to paint the tops of your hand pies. Once they're shiny and beautiful, bake them at 375F / 190C for 20-25 minutes, or until golden brown."	80	Hard
Wine Braised Oxtails	The Hobbit 	Oxtails braised in a wine broth 	"1.3*kilograms*Oxtails,1*tablespoon*Butter,2*cups*Red Wine,2*cups*Beef Broth,2*null*Bay Leaves,2*sprigs*Fresh Rosemary,1*whole*Onion (peeled),6*cloves*Garlic (peeled and crushed)"	"1. Melt 1 tbsp butter in a Dutch oven or large, sturdy stockpot. Over medium-high heat, brown the oxtails on all sides. Make sure to brown the fatty side. That adds a lot of flavor.||2. Once your oxtails are browned up, drown them in red wine and broth. Add the bay leaves, fresh rosemary, crushed garlic cloves, and whole, peeled onion. You can tuck them in a cheesecloth sachet if you'd like to keep things tidy, but it's not strictly necessary.||3.   When the wine and broth mix comes to a boil, put the lid on your Dutch oven. Reduce the heat to low and let it continue simmering for the next 2 hours. Check on the oxtails every half an hour or so to baste them in the cooking liquid.||4.  If you want to make a stew of it, after two hours of cooking, add 3 lbs / 1.3 kg peeled carrots, potatoes, turnips, or the root veggies of your choice. Make sure they're all cut into equal sized pieces no more than 2 inches / 5 cm. Bring the pot back to a boil, then turn the heat down to low and keep simmering for the next 30-45 minutes, or until the veggies are all soft, but not yet falling apart.||5.  If you don't want to make a stew of it, just simmer the oxtails for 2 hours and 45 minutes, or until they're so tender the meat nearly falls off the bone.||6. Now you have a couple of choices. If you're feeling extra rustic, you can serve the oxtails whole and let people pick at them to find all the good bits. However, if you have guests who are a little squeamish about seeing an actual piece of bone on their plate, go ahead and pull the meat off the bone for them. If you're making a stew, pile the meat on top of the vegetables right before serving.||7.  Before serving, remove 1 cup of fluid from the pot to use as a sauce. You can make an easy gravy by whisking together 2 tbsp flour with a third of a cup of cold water until the mix is free of lumps. Mix the cup of reserved juices into the cold flour water, whisking violently to keep it lump-free. Add salt, pepper, and Worcestershire sauce to spruce it back up.||8.  After dinner return the bones and other leftover bits of the oxtails to the pot. Fill it the rest of the way up with water and bring it back to a boil. You can add a couple of carrots and celery sticks for added flavour if you'd like. Let it boil while you entertain your guests at dinner, or for at least 2-3 hours. That gives it time to leach all the last flavour from the bones and marrow. If the night runs late, you can always put everything in a crockpot set to low and forget about it while you go to sleep.||9.  Either way, you now have delicious homemade beef broth you can use in anything. Take a sip and you'll never want to use store bought broth again. Strain out the solids and store it in the fridge for up to a week.||10.  If you're not in the mood to make broth from the leftovers, at least make sure to strain all the juices out of the pan left after making your gravy. You can make a simple, filling soup of it the next day by adding 1 part water to 1 part juices or just sop it up with stale bread for a truly lazy yet decadent snack."	180	Easy
Frumenty Wheat Porridge	The Hobbit 	Medieval Wheat Porridge 	"1*tablespoon*Butter,1*cup*Bulgur Wheat,1*cup*Whole Milk,1*cups*Water,100*milliliters*Whole Cream,50*grams*Dried Cherries,50*grams*Currants,2*null*Egg Yolks (beaten),4*strands*Saffron,50*grams*Brown Sugar,0.5*tablespoon*Butter (topping),1*tablespoon,1*tablespoon*Pine Nuts,100*grams*Flaked Almonds,100*milliliter*Whole Cream (topping)"	"1. Melt your butter in a large saucepan over medium-high heat. Add the wheat and stir constantly for about two minutes, or until all the grains are toasted. Turn the heat down to medium and add the water. Give that a good stir, then add the whole milk. If you add the milk first, you risk scalding it.||2. Keep stirring while you bring the pot to a gentle boil. Once it starts boiling, continue stirring regularly for 8-10 minutes, or until most of the liquid is absorbed and the wheat is tender. If your pot runs dry before the wheat has softened up, add another  60 ml of water and keep stirring it for another 5-6 minutes. Mix in the cherries and currants, then cover the pan and take it off the heat for 10 minutes so the wheat can cool.||3.  When you come back, mix in the heavy cream. You need to let the wheat cool before mixing in the cream or else you risk the dairy curdling. Now put the pot back over medium heat and slowly bring it back to a gentle boil. Stir frequently to keep anything from burning. Once the mix is boiling again, carefully stir in the beaten egg yolks. When they're well mixed, add the saffron strands and brown sugar. Keep mixing everything for another 1-2 minutes so the brown sugar melts into the porridge and the saffron strands have a chance to come in contact with as much of the grain as possible.||4. Remove the pan from the heat, cover it with a lid, and let it sit for 5-10 minutes for the flavours to mingle. While you wait, prepare the topping. Melt half tsp butter in a skillet over medium-high heat. Add the pine nuts and flaked almonds. Stir constantly for 1-2 minutes while the nuts toast. Be warned, if you look away for a second, pine nuts will instantly go from pale and chewy to burnt. Keep a close eye on them during the toasting.||5. To serve, fill bowls with frumenty, pour in a splash of cream, and top each one with a tbsp or two of freshly toasted nuts. If the expense and fuss of pine nuts are outside your budget, you can simply top the rich porridge with a splash of cream and plenty of dried cherries and currants."	60	Medium
Leftover Roast Apple Bread	The Hobbit 	Roast Apple Bread Loaf	"2*null*Roasted Apples,3*cups*Flour,2*teaspoon*Baking Powder,1*teaspoon*Cinnamon,0.5*teaspoon*Salt,4*null*Eggs,1*cup*Sugar,115*grams*Room Temperature Butter,1*cup*Whole Milk,1*cup*Heavy Cream"	"1.  To make this quick bread, start by creaming your eggs, sugar, and butter. Once those are a golden, sugary mass, add the milk and cream.||2.  In another bowl, mix your flour, baking powder, cinnamon, and salt.||3.  Introduce your dry ingredients to your wet ingredients. Keep mixing until the batter is barely lump free.||4.   Now roughly chop up your leftover roast apples along with all their fillings. If you have any pan juice left from roasting the apples, you can add a couple of tbsp of it to the batter for extra flavour.||5.  Thoroughly butter up two loaf pans. Spoon a quarter of the batter into one pan. Top that with a quarter of the chopped apples and filling. Add another layer of batter then another layer of apples.||6.  This creates a nice line of apples down the middle. If you prefer yours with the apples a little more integrated, grab a butter knife and weave it back and forth in the batter a couple of times. The goal isn't a thorough mixing. You just want to muddle things up a little.||7. Bake your bread at 350F / 175 C for 30-35 minutes, or until a toothpick inserted in the centre comes out clean."	55	Easy
