Name	Series	Description	Ingredients	Instructions	Time	Level						
Stir-fried Bean Sprouts 	One Piece 	A stir fry with anchovies and garlic 	"2*bags*Bean Sprouts,2*cloves*Garlic (peeled),6*null*Anchovies,1*splash*Olive Oil,1*sprinkle*Black Pepper,1*sprinkle*Salt"	"1. Mince garlic and chop anchovies finely.||2. Put olive oil and garlic into a frying pan on medium heat. When garlic is golden, add bean sprouts and cook on high heat.||3. When bean sprouts are translucent, add anchovies and black pepper and mix. Taste test and add more salt if needed"	10	Easy						
Pommed Paille 	One Piece 	Crispy Shoestring Potatoes 	"3*null*Potatoes (peeled),60*grams*Shredded Cheese,1*splash*Vegetable Oil,1*sprinkle*Salt"	"1. Place finely cut shoestring potatoes using a mandoline at a one-third-inch setting if available, and mix with cheese.||2. Pour a generous amount (around a quarter cup) of oil into a frying pan. Pack a quarter of the potatoes tightly and fry on low heat for 7-8 minutes. Turn over and fry another 7-8 minutes, until both sides are crispy. Be careful not to prod too much while frying, as it will come apart. Once cooked, dab dry with paper towels, then sprinkle with salt.||3. Repeat for the other three portions."	80	Easy						
Neptunian Penne Gorgonzola	One Piece 	Rich pasta made with two kinds of cheese	"180*grams*Penne,2*slices*Ham,100*ml*Milk,100*ml*Heavy Cream,50*grams*Blue Cheese,3*tablespoons*Parmesan Cheese (grated),1*dash*Black Pepper,1*flat-leaf*Parsley,7*cups*Water,1*tablespoon*Salt"	"1. Boil about 6-7 cups (1,500 ml) of water, and add 1 tbsp. (15 g) of salt, and boil penne for 1 minute less than indicated on the package. Slice ham into quarter-inch (5 mm) pieces.||2. Starting with a third cup of milk and adding more as needed, heat milk and cream in a pan on medium heat for about 2 minutes before the penne is cooked. Mix in crumbled blue cheese. When it has half melted, add penne and ham and simmer for 1 minute or until sauce has thickened, Add parmesan and mix.||3. Lastly, add pepper to taste, and sprinkle chopped parsley on top."	30	Easy						
Luffy and Zoro Bread Crusts	One Piece 	Stylish Fried Bread Crusts	"6*slices*Bread (crusts),1*heap*Cinnamon Sugar,1*can*Condensed Milk,1*splash*Frying Oil"	"1. Heat frying oil to 340 degrees F (170 degrees C). Place bread crusts in the pan, frying for about 90 seconds until golden brown. Remove and place on a drying rack over a cooking sheet lined with paper towels to remove oil.||2. Dust with cinnamon sugar as desired, and dip into condensed milk to eat."	7	Easy						
Exploding Apples	One Piece 	Baked Apples you can make in the toaster oven 	"2*null*Apples,2*null*Cinnamon Sticks,2*teaspoons*Lemon Juice,4*null*Cardamon Pods,1.5*tablespoon*Butter,4*teaspoons*Granulated Sugar"	"1. Slice apples in half lengthwise and scoop out seeds and core with a spoon. Break cinnamon sticks into 1-inch (3 cm) pieces and dampen them with water to keep them from burning.||2. Add lemon juice, cardamom, and butter to the apple surface and stick cinnamon into the centre.||3. Scatter granulated sugar on surface liberally, then cover skin side of apple in foil and bake in toaster oven with a sheet pan underneath for 20 minutes."	35	Easy						
Oda's Favourite Sea Chicken Onigiri	One Piece 	The secret treasure of rice balls	"1.5*cups*Rice (cooked and warm),1*can* Sea Chicken Tuna,1*tablespoon*Miso Paste,0.5*teaspoon*Sugar,2*null*Green Onion,1*heap*Dried Seaweed Sheets,1*sprinkle*Salt "	"1. Mince green onion, Drain oil briefly from tuna can, then fry in a pan on medium heat, mixing in miso and sugar. Add green onion and mix briefly, then turn off the heat. ||2. Wet hands with water, sprinkle with salt and surround a dab of tuna mixture with the cooked rice to form an onigiri. Cut nori sheet to the appropriate size and wrap it."	20	Easy						
Chill Out Chilaquiles 	Gudetama	Fried corn tortilla pieces simmered in salsa and guac	"2*teaspoons*Olive Oil (extra virgin),2*large*Eggs (lightly beaten),190*grams*Tortilla Chips,0.25*cup*Salsa,0.25*cup*Cheddar Jack Cheese,1*tablespoon*Green Onions (diced),1*scoop*Guacamole,1*scoop*Sour Cream"	"1. Heat olive oil in a skillet over medium heat and pour in the eggs. Let cook for 30 seconds. ||2. Add the tortilla chips and salsa, tossing with the egg to coat. Cook for 1 minute.||3. Sprinkle in the cheese and toss to coat, cooking until the cheese has melted and the chips are slightly crispy, about 2 to 3 minutes.||4. Top with green onions. Serve with guacamole and sour cream."	10	Easy						
I Wish These Eggs Were Pillows 	Gudetama	Cheesy Baked Eggs	"2*large*Eggs,1*tablespoon*Parmesan Chees (grated),1*gram*Salt,1*gram*White Pepper"	"1. Preheat the oven to 450 degrees F (230 degrees C). Prep a baking sheet with parchment paper.||2. Separate the eggs, placing the whites in a large bowl. Set aside the yolks, keeping them intact.||3. Beat the egg whites until stiff peaks form.||4. Fold in the Parmesan cheese, salt, and white pepper.||5. Spoon the whipped whites into two separate mounds and place them onto the prepped baking sheet.||6. With the back of a spoon, create an indentation in the center of each mound.||7. Bake for 2 minutes. Gently pour the egg yolks into the indentations. Return to the oven and cook for another 3 minutes. Serve immediately."	20	Easy						
"Sigh... Pancakes, I guess"	Gudetama	Delectable Pancakes 	"2*cups*Flour,1.5*tablespoons*Light Brown Sugar (packed),1.5*teaspoons*Baking Powder,0.5*teaspoon*Ground Cinnamon,0.25*teaspoon*Salt,2*large*Eggs,1.5*cups*Buttermilk,1.5*teaspoons*Vanilla Extract,2*tablespoons*Butter (unsalted and melted),1*tablespoon*Vegetable Oil"	"1. In a large bowl, whisk together the flour, brown sugar, baking powder, cinnamon, and salt. Set aside.||2. In a separate bowl, stir together the eggs, buttermilk, and vanilla.||3. Make a well in the center of the dry ingredients and stir in the wet ingredients, just until combined.||4. Stir in the melted butter.||5. In a skillet over medium-low heat, add the oil.||6. Pour a quarter cup circles of batter into the pan.||7. Cook for 3 to 4 minutes. When small bubbles appear and begin to pop, flip the pancakes over and cook for another 2 minutes, until they are cooked through and golden brown."	45	Medium						
Bacon Blankets 	Gudetama	"A lazy,bacon and egg breakfat "	"2*slices*Bacon,1*teaspoon*Light Brown Sugar (packed),2*large*Eggs,1*tablespoon*Unsalted Butter,0.25*teaspoon*Salt,1*gram*Pepper"	"1. In a nonstick skillet over medium heat, place the bacon and sprinkle the brown sugar on top. Cook until just crisp, about 6 to 8 minutes. Remove from the pan and set aside.||2. Break the eggs that can't be beat into individual bowls.||3. In the same skillet over medium heat, melt the butter, then slide the eggs into the pan.||4. When the edges start to turn white, cover the pan and lower the heat. Cook 4 to 5 minutes, until the whites firm up. Season with salt and pepper.||5. Lay the bacon blankets over the eggs to serve."	25	Medium						
BLTExhausted 	Gudetama	A Gudetama twist on the classic BLT sandwich	"2*tablespoons*Mayonnaise,1*teaspoon*Pesto,4*slices*Bacon (thick),2*slices* Sourdough Bread,2*slices*Tomato,1*gram*Pepper,3*leaves*Butter Lettuce"	"1. In a small bowl, stir together the mayonnaise and pesto. Set aside.||2. In a skillet over medium-high heat, cook the bacon for 5 to 6 minutes, until crispy. Drain on paper towels.||3. Lightly toast the bread.||4. Spread the mayonnaise mixture onto both sides of the toast. On one slice, layer the bacon, then the tomato.||5. Season with pepper.||6. Place the lettuce on top, then the remaining slice of toast.||7. Slice in half to serve."	15	Easy						
Slowly Grilled Cheese	Gudetama	A Gudetama twist on the classic Grilled Cheese	"2*slice*Bread (white),2*slices*Swiss Cheese,1*slice*Ham,1*tablespoon*Butter (unsalted and Softened)"	"1. On one slice of bread, layer a slice of cheese, the ham, and the other slice of cheese. Place the second piece of bread on top.||2. Spread half the butter onto the top of the bread.||3. In a skillet over medium heat, place the sandwich butter-side down.||4. Spread the rest of the butter on top of the bread slice facing up. Cook for 2 to 3 minutes, or until golden brown.||5. Flip the sandwich and cook for another 2 to 3 minutes, or until browned and the cheese is melted.||6. Slice in half to serve."	10	Easy						
Eggistential Crisis Eggs	Gudetama	A Gudetama Deviled Eggs	"8*large*Eggs,4*tablespoons*Mayonnaise,1*teaspoon*Yellow Mustard,0.25*teaspoon*Onion Powder,0.25*teaspoon*Salt,1*sprinkle*Pepper,8*null*Black Olives (cut in half)"	"1. Place the eggs in a pot and cover with 1 to 2 inches (2.5-5 cm) of water. Turn on the heat to medium-high and bring to a boil.||2. Turn off the heat, cover with a lid, and let sit for 10 to 12 minutes.||3. Place the eggs in an ice bath and let cool completely.||4. Peel and slice the eggs in half. Set aside the whites and place the yolks into a bowl.||5. Stir together the egg yolks, mayonnaise, mustard, onion powder, salt, and pepper.||6. Place the mixture into a piping bag and pipe the filling into the egg white centers.||7. Place an olive half on top of each egg to serve."	40	Medium						
Napping in an Avocado	Gudetama	Avocado and Eggs. A Gudetama favourite combo	"1*large*Avocado,2*small*Eggs,1*tablespoon*Parmesan Cheese,0.25*teaspoon*Salt,1*sprinkle*Pepper,4*dashes*Hot Sauce"	"1. Preheat the oven to 400 degrees F (200 degrees C).||2. Slice the avocado in half. Remove a tablespoon (14 g) of avocado out of each hole. Place the avocado halves onto a baking tray with each hole facing up. Crack an egg into each hole.||3. Onto the avocado halves, sprinkle the Parmesan cheese, salt, and pepper.||4. Cook for 12 to 15 minutes, until the eggs are just set.||5. Add the hot sauce to serve."	30	Easy						
"Life Is Hard, Lets Make Tacos "	Gudetama	Some delicious beef tacos 	"1*tablespoon*Chili Powder,1*teaspoon*Ground Cumin,1*teaspoon*Garlic Powder,0.5*teaspoon*Salt,0.25*teaspoon*Cayenne Pepper,450*grams*Groud Beef,8*small*Corn Toritillas,77*grams*Shredded Lettuce,0.5*cup*Cheddar Jack Cheese"	"1.  In a small bowl, stir together the chili powder, cumin, garlic powder, onion powder, salt, and cayenne pepper. Set aside.||2.  In a skillet over medium-high heat, brown the ground beef, about 8 to 10 minutes.||3. Add the seasonings and cook for another 1 to 2 minutes.||4. Serve in tortillas with lettuce and cheese."	15	Medium						
Better Catch Some ZZZs Burgers	Gudetama	Gudetama Beef Burger of Dreams	"0.5*cup*Mayonnaise,1*null*Chipotle (in adobo sauce and minced),1*tablespoon*Adobo Sauce,0.5*teaspoon*Salt,0.25*teaspoon*Pepper,450*grams*Ground Beef,1*tablespoon*Worcestershire Sauce,1*teaspoon*Salt (burgers),1*teaspoon*Pepper (burgers),1*medium*Onion (sliced into rings),2*tablespoons*Olive Oil,4*null*Brioche Buns,4*slices*Swiss Cheese,8*leaves*Iceberg Lettuce,1*null*Tomato (sliced)"	"1. In a small bowl, stir together the mayonnaise, chipotle, adobo sauce, salt, and pepper. Set aside.||2. In a large bowl, mix together the ground beef, breadcrumbs, Worcestershire sauce, salt, and pepper. Form 4 patties.||3. Heat grill to 450 degrees (230 degrees). Brush the onion slices with olive oil, place on the grill, and cook until charred.||4. Place the buns on the grill to lightly toast, then remove and set aside.||5. Place the patties on the grill and cook for 3 to 5 minutes. Flip over and cook for another 3 minutes.||6. Add the cheese slices on top of the patties and cook to melt, approximately 1 minute.||7. To assemble the burgers, spread the chipotle mayo onto the buns. Place each patty on a  bottom bun, then top with grilled onions, lettuce, tomato, and the top bun."	30	Hard						
Slow-Paced Short Ribs	Gudetama	"Smoky fragrant, fall of the bone rib centered happiness"	"1*cup*Flour,2*teaspoons*Salt,1*teaspoon*Pepper,2*tablespoons*Olive Oil (extra-virgin),1.85*kilograms*Short Ribs,1*large*Onion (diced),2*large*Carrots (diced),2*large*Celery Stalks (diced),200*grams*Mushrooms (quartered),4*cloves*Garlic (minced),1*tablespoon*Light Brown Sugar (packed),1*tablespoon*Tomato Paste,2*cups*Beef Broth,2*cups*Red Wine,1*tablespoon*Dried Parsley,1*tablespoon*Dried Thyme,1*tablespoon*Dried Rosemary,1*null*Bay Leaf"	"1. Preheat the oven to 300 degreesF (150 degrees C).||2. Generously season the flour with salt and pepper, then dredge the short ribs. Set aside.||3. In a Dutch oven, heat the olive oil over medium-high heat. Add the ribs and brown on all sides. Remove from the pot and set aside.||4. Lower the heat to medium and add the onions, carrots, celery, mushrooms, and garlic. Cook until soft, about 8 to 10 minutes.||5. Stir in the brown sugar and tomato paste. Pour in the beef broth and red wine.||6. Place the short ribs back into the pot. Add in the parsley, thyme, rosemary, and bay leaf.||7. Simmer for 10 minutes, then move the Dutch oven to the preheated oven. Cook for 3 hours.||8. Discard the bay leaf and plate to serve."	220	Hard						
Who Cares about Salmon	Gudetama	Baked stress free Salmon	"0.5*cup*Spinach Leaves (fresh),200*grams*Salmon Filet,1*tablespoon*Butter (unsalted and softened),2*teaspoons*Shallots (sliced),1*teaspoon*Fresh Parsley (chopped),0.5*teaspoon*Salt,0.25*teaspoon*Pepper,3*slices* Lemon (thin)"	"1. Preheat the oven to 350 degrees F (177 degrees C).||2. On a piece of parchment, place the spinach leaves, then the salmon.||3. In a small bowl, stir together the butter, shallots, and parsley. Spread on top of the salmon.||4. Season with salt and pepper. Top with lemon slices.||5. Fold over and crimp the edges of the parchment paper to seal. Place onto a baking sheet.||6. Bake for 15 minutes, until an instant-read thermometer reads 145 degrees F (63 degrees C)."	35	Easy						
Stress-Free Strawberry Ice Cream Pie	Gudetama	Revel in the deliciousness of both pie and ice cream	"2*cups*Graham Crackers (finely grounded),6*tablespoons*Butter (unsalted and melted),3*tablespoons*Light Brown Sugar (packed),0.5*teaspoon*Ground Cinnamon,0.25*teaspoon*Salt,6*cups*Strawberry Ice Cream (softened),1*cup*Heavy Whipping Cream,2*tablespoons*Confectioners Sugar,5*fresh*Strawberries"	"1. In a bowl, stir together the graham cracker crumbs, butter, brown sugar, cinnamon, and salt.||2. Press into a 9-inch (23-cm) pie plate, and freeze for 1 hour.||3. Pour in the softened ice cream and spread evenly with a spatula. Place the pie back in the freezer for 4 to 6 hours.||4. In a large bowl, whip together the cream and confectioners' sugar just until stiff peaks form. Spread onto the pie. Top with fresh strawberries to serve."	420	Easy						
Dozing Off Donuts	Gudetama	Balck sesame sugar glaze doughnuts 	"3*tablespoons*Black Sesame Seeds,1*cup*Confectioners Sugar,3*tablespoons*Whole Milk,0.5*teaspoon*Vanilla Extract,452*grams*Flaky Biscuit Dough,2*cups*Vegetable Oil"	"1. To make the glaze: In a dry skillet over medium-high heat, toast the sesame seeds for 2 to 3 minutes, until fragrant. Use a mortar and pestle or a spice grinder, until it becomes powderlike.||2. In a small bowl, stir together the confectioners' sugar, the black sesame seed powder, milk, and vanilla. Set aside.||3. To make the doughnuts: Place the biscuits on a cutting board and use a 1-inch (2.5-cm) round cutter to cut holes from the middle of each biscuit.||4. In a Dutch oven, heat the oil to 350 degrees F (177 degrees C). Fry the doughnuts and holes for 1 to 2 minutes on each side, until golden brown. Transfer to a wire rack and let cool.||4. Dip the doughnuts in the glaze and place them back onto the wire rack to let the excess glaze drip off.||5. Once the glaze has set after about 20 minutes, the doughnuts are ready to serve."	50	Medium						
Coulnot Care Less Cupcakes	Gudetama	Delish Vanilla Cupcakes with Frosting	"150*grams*Cake Flour,1*teaspoon*Baking Powder,0.25*teaspoon*Salt,6*tablespoons*Butter (unsalted and softened),1*cup*Granulated Sugar,2*large*Eggs,2*teaspoons*Vanilla Extract,120*ml*Buttermilk,0.5*cup*Unsalted Butter (softened for frosting),2*cups*Confectioners Sugar,2*tablespoons*Heavy Whipping Cream,2*teaspoons*Vanilla Extract (frosting) ,0.25*teaspoon*Salt,1*drop*Red Food Coloring"	"1. To make the cupcakes: Preheat the oven to 350 degrees F (177 degrees C). Prep a cupcake pan with paper liners.||2. In a medium bowl, whisk together the cake flour, baking powder, and salt.||3. In the bowl of an electric mixer, cream the butter and sugar until fluffy.||4. Add the eggs and vanilla, stirring until just combined. Stir in the flour mixture, alternating with buttermilk. Spoon the batter into the prepped cupcake pan.||5. Bake for 16 to 17 minutes, or until a toothpick inserted in the center comes out clean.||6. Let cool on a wire rack.||7. To make the frosting: In a large bowl with a handheld mixer on low, cream the butter while slowly adding the confectioners' sugar. Stir in the heavy whipping cream, vanilla, and salt.Add food coloring and stir, until the frosting becomes a light pink color.||8. Turn the mixer up to medium-high and whip for 10 to 15 seconds, until light and fluffy.||9. To assemble: Pipe the frosting onto the cupcakes to serve."	45	Hard						
Simply Over It Salty Snack Mix	Gudetama	Handy Snack Mix	"3*cups*Rice Cereal Squares,3*cups*Corn Cereal Squares,2*cups*Corn Chips,1.5*cups*Mini Pretzels,1.5*cups*Small Cheese Crackers,1*cup*Macadamia Nuts,0.5*cup*Unsalted Butter,0.25*cup*Worcestershire Sauce,1*tablespoon*Light Brown Sugar,2*teaspoons*Seasoned Salt,2*teaspoons*Garlic Powder,1*teaspoon*Chili Powder,1*teaspoon*Onion Powder"	"1. To make the cereal mix: Preheat the oven to 250 degrees F (130 degrees C).||2. In an extra-large bowl, toss together the rice and corn cereal, corn chips, pretzels, cheese crackers, and macadamia nuts. Set aside.||3. To make the sauce: In a saucepan over low heat, stir together the butter, Worcestershire sauce, brown sugar, seasoned salt, garlic powder, chili powder, and onion powder. Cook 4 to 6 minutes until melted, stirring constantly.||4. To assemble: Pour the sauce over the cereal mixture and toss to coat.||5. Spread the mixture onto a baking sheet, lined with a silicone baking mat or parchment paper.||6. Bake for 1 hour, making sure to stir every 15 minutes.||7. Remove from the oven and let cool completely.||8. Scoop into an airtight container."	100	Medium						
Relaxing Bubble Tea	Gudetama	Black Tea Boba Drink	"0.5*cup*Light Brown Sugar (packed),0.5*cup*Granulated Sugar,0.25*cup*Boba Pearls,1*cup*Black Tea (brewed),3*tablespoons*Whole Milk"	"1. To make the simple syrup: Combine 1 cup (230 ml) water and the sugars in a small saucepan. Bring to a boil and simmer for 2 minutes, just until the sugar is dissolved. Let cool.||2. To make the boba: In a large saucepan, bring 5 cups (1,180 ml) water to a boil.||3. Add in the boba pearls. When they start to float, turn the heat to low and let them simmer for 25 minutes.||4. Turn off the heat and cover the saucepan. Let sit for 25 minutes.||5. Drain and rinse the boba.||6. In a small bowl, add the cooked boba to the simple syrup and let soak for 30 minutes.||7. Strain the boba and pour it into a tall class.||8. To make the milk tea: Pour the boba over the tea, and then add the milk to serve."	95	Hard						
Take it Easy Tumeric Latte	Gudetama	"Brown sugar,cinnamon and vanilla tumeric latte"	"350*ml*Whole Milk,2*teaspoons*Light Brown Sugar,0.5*teaspoon*Vanilla Extract,0.25*teaspoon*Tumeric Powder,0.125*teaspoon*Ground Cinnamon"	"1. In a saucepan over medium heat, place the milk, brown sugar, vanilla, turmeric, and cinnamon. Cook for 2 to 3 minutes, until warmed through.||2. Pour into a cup through a strainer to serve."	8	Easy						
Bored by Dalgona Coffee	Gudetama	Fluffy Dalgona Coffee	"2*tablespoons*Instant Coffee Granules,2*tablespoons*Granulated Sugar,1*cup*Almond Milk"	"1. In a medium bowl, stir together the instant coffee, sugar, and 2 tablespoons (30 ml) boiling water.||2. With a handheld mixer on low, whip the mixture for 30 seconds until it starts to froth.||3. Raise the speed and continue whipping until the mixture fluffs up and soft peaks form, about 4 to 5 minutes.||4. Fill a cup with ice, then pour over the milk.||5. Spoon the whipped coffee mixture over the milk to serve."	20	Easy						
Lounge Around Lychee Slush	Gudetama	Lychee Citrusy Slush	"425*grams*Lychee (drained),3*tablespoons*Granulated Sugar,1*tablespoon*Lemon Juice,2*teaspoons*Orange Zest,0.5*cup*Orange Juice,0.5*cup*Lemon-Lime Soda"	"1. In a blender, place the lychee, sugar, lemon juice, and orange zest. Blend until combined. Pour the mixture into ice cube trays and freeze for 8 hours.||2. Place the lychee ice cubes in a blender, along with the orange juice and lemon-lime soda. Blend until slushy.||4. Pour into a glass to serve."	10	Easy						
Sleep Time Hot Chocolate 	Gudetama	Warm and smoth Hot Chocolate 	"2*cups*Whole Milk,60*grams*Dark Chocolate (chopped),2*tablespoons*Unsweetened Cocoa Powder,2*tablespoons*Granulated Sugar,0.5*teaspoons*Vanilla Extract,0.125*teaspoon*Salt,1*heap*Whipped Cream"	"1. In a saucepan over medium-low heat, place the milk, chocolate, cocoa powder, sugar, vanilla, and salt.||2. Whisk and bring to a low simmer. Cook for 2 minutes until smooth.||3. Serve with whipped cream."	7	Easy						
Procrastination Punch	Gudetama	" The fragrant pineapple and bubbly soda blend together for a slushy, fruity refreshment."	"435*grams*Frozen Pineapple Chunks,355*ml*Lemon-Lime Soda,1*cup*Orange Juice,1*tablespoon*Lemon Juice,1*pint*Vanilla Ice Cream,4*null*Cherries (with stems)"	"1. In a blender, place the frozen pineapple, lemon-lime soda, orange juice, and lemon juice. Blend.||2. Pour into glasses. Add a scoop of ice cream on top.||3. Garnish with cherries to serve."	10	Easy						
Grilled Chicken Skewers	Genshin	Simple to make chicken skewers	"1*tablespoon*Dried Oregano,1*tablespoon*Dijon Mustard,0.5*teaspoon*Dried Thyme,1*null*Lemon Juice,3*cloves*Garlic (minced),2*tablespoons*Olive Oil,1*tablespoon*Smoked Paprika,0.25*cup*Soy Sauce,1*tablespoon*Maple Syrup,3*tablespoons*Orange Juice,0.25*cup*Chicken Stock,0.5*teaspoon*Pepper,2*null*Chicken Breasts (boneless and skinless),1*pound*Cremini Mushrooms (whole)"	"1.. In a large bowl, mix together all the ingredients except the chicken and mushrooms to create a marinade.||2. Cut the chicken breasts into bite-size pieces. Place the chicken and mushrooms in the bowl of marinade and stir until thoroughly coated. Cover and refrigerate for 4 to 10 hours, stirring occasionally.||3. If you're using bamboo skewers, soak them in water for a few minutes right before the chicken and mushrooms are done marinating to keep them from burning when it comes time to cook. Then pat dry.||4. Thread the chicken and mushrooms on the skewers, discarding any remaining marinade. Grill on high heat until cooked, 5 to 7 minutes, or bake in the oven at 430 degrees F for 8 to 10 minutes. Enjoy!"	30	Easy						
Fried Radish on a Stick	Genshin	The delicious yet subtle flavour of radishes 	"1*large*Daikon Radish (white),1*pinch*Salt,2*large*Eggs,0.75*cup*Flour,1*null*Green Onion (thinly sliced),1*teaspoon*Vegetable Stock Powder,1*teaspoon*Ginger ( minced),1*teaspoon*Garlic Powder,1*teaspoon*Onion Powder,1*teaspoon*Paprika,1*pinch*Pepper,1*splash*Vegetable Oil"	"1. Using a vegetable peeler, remove the skin from the radish. Then use a grater to shred the radish into a large bowl.||2. Sprinkle the grated radish with a pinch of salt and let sit for a few minutes to draw out the water from the radish. Drain the excess water and use a paper towel to squeeze out any remaining water fromthe radish.||3. Add the eggs, flour, green onion, vegetable stock, ginger, and remaining seasonings. Mix well.||4. Shape the radish mixture into balls. (The smaller the balls, the faster they will cook.)||5. Add vegetable oil to a skillet over medium heat. Gently place the radish balls in the oil and fry all together for 5 minutes or until golden brown, turning them occasionally to ensure all sides are frying evenly. Serve with an aioli or your favorite sauce."	30	Easy						
Crispy Potato-Shrimp Balls 	Genshin	These cute and compact balls of fried goodness make this dish the perfect appetizer for your next gathering with friends!	"20*raw*Shrimp,3*medium*Russet Potatoes (peeled and cut into 1-inch cubes),1*tablespoon*Unsalted Butter,1*null*egg Yolk,1*large*Egg,2*teaspoons*Salt,1.5*teaspoon*Pepper,2*teaspoons*Paprika,0.25*teaspoon*Dried Thyme,2*teaspoons*Garlic Powder,1*cup*Flour,1*cup*Panko Breadcrumbs,1*splash*Vegetable Oil"	"1. Peel off the shrimp shells, leaving the tails on. Season with a pinch of salt and pepper and set aside.||2. Boil the potatoes in water over medium-high heat for 15 to 20 minutes, or until fork tender. Mash them using a potato masher, then add in the unsalted butter and egg yolk. Mix until smooth. Your potatoes should be creamy but not soupy. If they are too soupy, add a little flour until the potatoes are thickened to a creamy texture.||3. Add the 1 and a half teaspoons salt, 1 teaspoon pepper, paprika, thyme, and garlic powder. Mix well.||4. Scoop out a third cup of the potato mixture and use your hands to form it into a ball. Using your thumb, poke a hole in the top of the ball, place a shrimp in the hole, then cover the shrimp with the potatoes until just the shrimp tail is sticking out. Squeeze slightly to tighten everything and make sure the shrimp stays locked inside.||5. Pour 1 cup flour into a shallow dish. Then crack the egg into a separate dish and whisk to combine the yolk and egg white. Add the panko crumbs to another shallow dish.||6. Carefully roll a potato-shrimp ball into the flour, shaking off any excess. Then roll in the egg wash and then the bread crumbs. Make sure the ball is fully covered with all three ingredients. Set aside on a large plate or tray and repeat for the remaining potato-shrimp balls.||7. Fill a medium frying pan halfway with vegetable oil and heat to between 350 degrees F to 375 degrees F over medium heat. Fry the shrimp balls together until the outside is golden brown, about 4 minutes, turning occasionally to ensure all shrimp balls are frying evenly.||8. Remove from the oil and let the potato-shrimp balls cool for a few minutes. Enjoy by themselves or serve with an aioli or your favorite sauce."	40	Medium						
Classic Cold Cuts 	Genshin	A platter of delicious meats	"1*package*Prosciutto,7*slices*Deli Ham,2*links*Cured Chorizo,1*scoop*Cherry Tomatoes,1*heap*Lettuce Leaves"	"1. On a flat platter or board, arrange the prosciutto slices as light and airy ribbons covering a third of the serving plate.||2. On another third of the platter, fan the ham pieces out like a deck of cards, or fold each piece in half twice so they are easy to grab.||3. Cut the sausages into round slices and arrange on the last third of the platter.||4. Place some cherry tomatoes and a few leaves of lettuce in the middle of the platter. You can also tuck a few lettuce leaves under the meat slices and along the edge of the platter."	10	Easy						
Elegant Egg Roll	Genshin	Eggs to fluffy perfection and rolling them into a rectangular loaf	"8*null*Eggs,2.5*tablepoons*Water,1*tablespoon*Soy Sauce,0.75*teaspoon*Sugar,1*tablespoon*Olive Oil"	"1. In a medium bowl, combine the eggs, water, soy sauce, and sugar. Using a whisk, beat until well combined.||2. Heat a tamagoyaki pan (rectangular Japanese omelet pan) or a small frying pan over medium heat. Using a pastry brush, lightly coat the bottom of the pan with olive oil.||3. Pour a thin layer of the egg mixture to cover the surface of the pan. When it's about 80 percent cooked but still wet on the surface, use chopsticks or wooden tongs to start gently rolling in the edges to form a rolled omelet. Move the rolled omelet to one side of the pan.||4. Brush the pan with oil again and pour in another thin layer of the egg mixture. Using a spoon, gently lift the previously made omelet and spread some of the uncooked egg mixture underneath. This willhelp both omelets stick together. When this next layer of eggs is 80 percent cooked but the surface is still wet, start with the previously made omelet and gently roll it up with the new layer. Set to one side of the pan. Repeat this process until the egg mixture is gone. Your omelet will have 3 to 4 layers.||5. Transfer the rolled omelet onto a cutting board and allow to rest for several minutes. Cut into even 2-inch slices and serve."	20	Hard						
Loaded Baked Potato 	Genshin	One-of-a-kind baked potato side dish!	"3*large*Baking Potatoes,1*teaspoon*Olive Oil,4*tablespoons*Unsalted Butter (cut into cubes),0.5*cup*Green Onions (chopped),5*null*Cremini Mushrooms (chopped),0.5*cup*Half and Half,0.5*cup*Sour Cream,1*sprinkle*Salt,1*spinkle*Pepper,1*cup*Cheddar Cheesew (shredded)"	"1. Preheat the oven to 400 degrees F. Pierce the potatoes several times with a fork and rub with olive oil. Bake until tender, 50 to 75 minutes. While baking, you can check if the potatoes are done by sticking a skewer or a fork into them; if soft, they are ready.||2. Remove the potatoes from the oven. When cool enough to handle, slice the top off each potato horizontally (about 1 inch). Scoop out the potato pulp and transfer it to a large mixing bowl, leaving thin potato shells. Set the potato skins aside and reduce the oven temperature to 375 degrees F.||3. In a small skillet, melt the butter over medium-high heat, then add the onions and mushrooms and saute until tender, about 5 minutes.||4. In the mixing bowl, using a potato masher, mash the potato pulp. Stir in the sauteed onions and mushrooms, half-and-half, sour cream, salt, and pepper. Stuff this mixture into the 3 potato shells and top with cheddar cheese.||5. Place the stuffed potatoes on a baking sheet and bake until heated through, about 20 minutes. Top with extra chopped green onions to serve."	105	Medium						
